station_name,gaw_id,country_name,station_wmo_region
Andoya,ARR
Aspvreten,APT
Astrophysical Laboratory Catania,
Athens,ATH
Barbados
Barcelona,
Belsk,
Beo.moussala,
Beromünster,
Birkenes II,BIR
Bucharest,
Bösel,
Cabauw,
habauw Wielsekade,
Cabauw Zijdeweg,
Cape Verde Atmospheric Observatory,
Capo Granitola,
Chaumont,
Chilbolton,
Clermont-Ferrand,
Cork,
Deutschneudorf,
Dushanbe,
El Arenosillo,
Ersa (Cape Corsica),
Evora,
Finokalia,
Garmisch.partenkirchen,
Giordan Lighthouse,
Granada,
Helmos Mountain,
Hohenpeissenberg,
Hurdal,
Hyltemossa,
Hyytiala,SMR
Ispra,IPR
Izana,
Juelich,
Jungfraujoch,JFJ
Karvatn,
Kenttarova,
Kosetice (NOAK),
K-Puszta,
Kuopio,
La Réunion - Maïdo atmospheric observatory,
L.aquila,
La.tardiere,
Lecce,
Lecce (University of Salento),
Leipzig,
Lille,
Limassol,
Lindenberg,
London - North Kensington,
Mace Head,
Madrid,
Maisach,
Melpitz,
Minsk,
Montsec,
Montseny,
Mount Chacaltaya,
Mt.cimone,
Munich,
Napoli,
Neuglobsow,
Nicolosi,
Norunda Stenen,
Ny-Alesund,
Observatoire Perenne de l'Environnement,
Observatory Hohenpeissenberg,
Palaiseau,
Pallas (Sammaltunturi),
Payerne,
Peyrusse.vieille,
Pic du Midi,
Potenza,
Prague-Suchdol,
Preila,
Puy.de.Dome,
Revin,
Rigi,
Roma-Tor Vergata,
Schauinsland,
Schneefernerhaus,
SIRTA Atmospheric Research Observatory,
Sodankyla,
Sofia,
Sonnblick,
St. Petersburg,
Tanikon,
Thessaloniki,
Tiksi,TIK
TMNT09 Vielsalm,
Troll,
Trollhaugen,
Ústí n.L.-mesto,
Varrio,
Vavihill,
Waldhof,
Warsaw,
Zeppelin mountain (Ny-Ålesund),ZEP
Zugspitze-Schneefernerhaus,ZSF
